"Participant" "activity" "timeBodyAccelerator-mean()-X" "timeBodyAccelerator-mean()-Y" "timeBodyAccelerator-mean()-Z" "timeGravityAccelerator-mean()-X" "timeGravityAccelerator-mean()-Y" "timeGravityAccelerator-mean()-Z" "timeBodyAcceleratorJerk-mean()-X" "timeBodyAcceleratorJerk-mean()-Y" "timeBodyAcceleratorJerk-mean()-Z" "timeBodyGyroscope-mean()-X" "timeBodyGyroscope-mean()-Y" "timeBodyGyroscope-mean()-Z" "timeBodyGyroscopeJerk-mean()-X" "timeBodyGyroscopeJerk-mean()-Y" "timeBodyGyroscopeJerk-mean()-Z" "timeBodyAcceleratorMagnitude-mean()" "timeGravityAcceleratorMagnitude-mean()" "timeBodyAcceleratorJerkMagnitude-mean()" "timeBodyGyroscopeMagnitude-mean()" "timeBodyGyroscopeJerkMagnitude-mean()" "frequencyBodyAccelerator-mean()-X" "frequencyBodyAccelerator-mean()-Y" "frequencyBodyAccelerator-mean()-Z" "frequencyBodyAcceleratorJerk-mean()-X" "frequencyBodyAcceleratorJerk-mean()-Y" "frequencyBodyAcceleratorJerk-mean()-Z" "frequencyBodyGyroscope-mean()-X" "frequencyBodyGyroscope-mean()-Y" "frequencyBodyGyroscope-mean()-Z" "frequencyBodyAcceleratorMagnitude-mean()" "frequencyBodyBodyAcceleratorJerkMagnitude-mean()" "frequencyBodyBodyGyroscopeMagnitude-mean()" "frequencyBodyBodyGyroscopeJerkMagnitude-mean()" "timeBodyAccelerator-std()-X" "timeBodyAccelerator-std()-Y" "timeBodyAccelerator-std()-Z" "timeGravityAccelerator-std()-X" "timeGravityAccelerator-std()-Y" "timeGravityAccelerator-std()-Z" "timeBodyAcceleratorJerk-std()-X" "timeBodyAcceleratorJerk-std()-Y" "timeBodyAcceleratorJerk-std()-Z" "timeBodyGyroscope-std()-X" "timeBodyGyroscope-std()-Y" "timeBodyGyroscope-std()-Z" "timeBodyGyroscopeJerk-std()-X" "timeBodyGyroscopeJerk-std()-Y" "timeBodyGyroscopeJerk-std()-Z" "timeBodyAcceleratorMagnitude-std()" "timeGravityAcceleratorMagnitude-std()" "timeBodyAcceleratorJerkMagnitude-std()" "timeBodyGyroscopeMagnitude-std()" "timeBodyGyroscopeJerkMagnitude-std()" "frequencyBodyAccelerator-std()-X" "frequencyBodyAccelerator-std()-Y" "frequencyBodyAccelerator-std()-Z" "frequencyBodyAcceleratorJerk-std()-X" "frequencyBodyAcceleratorJerk-std()-Y" "frequencyBodyAcceleratorJerk-std()-Z" "frequencyBodyGyroscope-std()-X" "frequencyBodyGyroscope-std()-Y" "frequencyBodyGyroscope-std()-Z" "frequencyBodyAcceleratorMagnitude-std()" "frequencyBodyBodyAcceleratorJerkMagnitude-std()" "frequencyBodyBodyGyroscopeMagnitude-std()" "frequencyBodyBodyGyroscopeJerkMagnitude-std()"
"Partisipant 1" "LAYING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 1" "SITTING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 1" "STANDING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 1" "WALKING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 1" "WALKING_DOWNSTAIRS" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 1" "WALKING_UPSTAIRS" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 10" "LAYING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 10" "SITTING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 10" "STANDING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
"Partisipant 10" "WALKING" 0.274347260646063 -0.0177434918458972 -0.108925032737064 0.669226222373046 0.00403879092060517 0.0921508600211059 0.0789381220355816 0.0079481069090025 -0.00467469823628666 -0.0309824871713436 -0.0747194855994359 0.088357304227173 -0.0967092754729682 -0.0423181079782632 -0.0548303497968374 -0.54822165976717 -0.54822165976717 -0.649417950650692 -0.60524856977632 -0.762137610987416 -0.622761658493734 -0.53749328145871 -0.665033506271952 -0.656713524546605 -0.628961179980356 -0.743608246170053 -0.672094306818974 -0.70621663959074 -0.644192752866115 -0.585962696268539 -0.620789916331592 -0.697411069729937 -0.779767633083527 -0.607783818968688 -0.510191378479501 -0.61306429934125 -0.965207115039421 -0.95440802665318 -0.938900969424022 -0.63978102073413 -0.607971599340832 -0.762820240449202 -0.721192598029789 -0.682653506899942 -0.653665674372188 -0.731348533131935 -0.786062320321895 -0.739932395222129 -0.591225327146546 -0.591225327146546 -0.627762945785391 -0.662533062898382 -0.77799317279698 -0.603356276555826 -0.528420009576204 -0.617874813333395 -0.654979816705833 -0.612243590244114 -0.780928428167213 -0.738594816501343 -0.674226934551517 -0.690446312501126 -0.659531216655476 -0.640076803144351 -0.699976372277643 -0.792190209274884
